GO_term,Description,DECount,Expected,N,notDECount,p,adjP,FDR,expression,shortest_path,longest_path,terminal_node,ontology,Group
GO:0042221,response to chemical,168,65.60994166878011,3153,2985,1.0471219834230749e-30,1.384295262085305e-27,1.0748353436742014e-26,Down,2,2,FALSE,BP,gad1SALK-Col-0
GO:1901700,response to oxygen-containing compound,113,34.6842505706315,1691,1578,6.092702278003943e-28,8.054552411521212e-25,3.126976536905093e-24,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0050896,response to stimulus,251,136.1653563276693,6446,6195,2.711253345293626e-26,3.5842769224781737e-23,9.276699904787442e-23,Down,1,1,FALSE,BP,gad1SALK-Col-0
GO:0006950,response to stress,176,82.02891199594218,3908,3732,2.072056982322163e-23,2.7392593306299e-20,5.3172412430551905e-20,Down,2,2,FALSE,BP,gad1SALK-Col-0
GO:0033993,response to lipid,74,19.606052920787896,966,892,1.4217288910287786e-21,1.8795255939400454e-18,2.918713359841747e-18,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0010033,response to organic substance,110,42.92670555414659,2063,1953,2.3889890675606755e-19,3.1582435473152132e-16,4.0870276276557704e-16,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0009628,response to abiotic stimulus,114,46.1577479076845,2214,2100,8.13979474765975e-19,1.076080865640619e-15,1.1936034774420139e-15,Down,2,2,FALSE,BP,gad1SALK-Col-0
GO:0009737,response to abscisic acid,53,12.088933975822131,603,550,3.4604359259723623e-18,4.574696294135463e-15,4.440025728421135e-15,Down,4,5,FALSE,BP,gad1SALK-Col-0
GO:0097305,response to alcohol,53,12.242793135514415,610,557,5.721408735757787e-18,7.563702348671794e-15,6.525369772419926e-15,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0009415,response to water,43,8.088595823822809,411,368,1.0787656578051823e-17,1.426128199618451e-14,1.1073165064881282e-14,Down,3,4,FALSE,BP,gad1SALK-Col-0
GO:0009414,response to water deprivation,42,7.912756784174486,402,360,2.7606268759530614e-17,3.649548730009947e-14,2.4897028766070018e-14,Down,3,5,FALSE,BP,gad1SALK-Col-0
GO:0001101,response to acid chemical,44,8.747992222504015,442,398,2.910610593107276e-17,3.847827204087819e-14,2.4897028766070018e-14,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0009605,response to external stimulus,98,39.91546200016908,1914,1816,6.365342378287583e-16,8.414982624096185e-13,5.026006866793095e-13,Down,2,2,FALSE,BP,gad1SALK-Col-0
GO:0009725,response to hormone,87,33.1016992137966,1593,1506,9.650281240481878e-16,1.2757671799917043e-12,7.07549121569944e-13,Down,3,4,FALSE,BP,gad1SALK-Col-0
GO:0009719,response to endogenous stimulus,87,33.78307549243385,1624,1537,2.285726117180182e-15,3.0217299269122007e-12,1.5641470975350106e-12,Down,2,2,FALSE,BP,gad1SALK-Col-0
GO:0010035,response to inorganic substance,63,19.759912080480177,962,899,3.607076931787334e-15,4.7685557038228556e-12,2.3140891384992e-12,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0006970,response to osmotic stress,45,11.077859497844281,549,504,1.7470899669690158e-14,2.3096529363330388e-11,1.0548993138305975e-11,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0043207,response to external biotic stimulus,74,30.39817397920365,1457,1383,5.114777871825355e-12,6.761736346553119e-9,2.625073352824167e-9,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0051707,response to other organism,74,30.39817397920365,1457,1383,5.114777871825355e-12,6.761736346553119e-9,2.625073352824167e-9,Down,2,4,FALSE,BP,gad1SALK-Col-0
GO:0009607,response to biotic stimulus,74,30.947670978104657,1482,1408,1.3239881694893159e-11,1.7503123600648755e-8,6.471567290436025e-9,Down,2,2,FALSE,BP,gad1SALK-Col-0
GO:0044419,biological process involved in interspecies interaction between organisms,74,31.519147856961705,1508,1434,4.042444229297231e-11,5.3441112711309395e-8,1.8861056570751728e-8,Down,1,1,FALSE,BP,gad1SALK-Col-0
GO:0009651,response to salt stress,36,9.539267900921464,470,434,5.516019779802331e-11,7.292178148898681e-8,2.4617425956662388e-8,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0009611,response to wounding,24,4.352016231295967,222,198,9.996091879663725e-11,1.3214833464915445e-7,4.2752711006005394e-8,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0009266,response to temperature stimulus,40,13.034068813931862,633,593,1.4520053134630365e-9,1.9195510243981343e-6,5.73244001844921e-7,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0009753,response to jasmonic acid,21,3.846478992307042,196,175,1.754797025297181e-9,2.319841667442873e-6,6.67125877236131e-7,Down,4,5,FALSE,BP,gad1SALK-Col-0
GO:0070542,response to fatty acid,21,3.934398512131203,200,179,2.53481210817727e-9,3.3510216070103506e-6,9.2924964350372045e-07,Down,4,5,FALSE,BP,gad1SALK-Col-0
GO:0036294,cellular response to decreased oxygen levels,23,4.791613830416773,241,218,2.864971093710949e-9,3.7874917858858744e-6,9.802653491744726e-7,Down,5,5,FALSE,BP,gad1SALK-Col-0
GO:0071453,cellular response to oxygen levels,23,4.791613830416773,241,218,2.864971093710949e-9,3.7874917858858744e-6,9.802653491744726e-7,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0036293,response to decreased oxygen levels,24,5.3850705892298585,269,245,4.9637858610566265e-9,6.56212490831686e-6,1.6435995184453665e-6,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0070482,response to oxygen levels,24,5.407050469185899,270,246,5.340654612125689e-9,7.060345397230161e-6,1.7131254841675722e-6,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0006979,response to oxidative stress,32,9.605207540789586,469,437,1.1090605880066332e-8,1.4661780973447691e-5,3.449737057460215e-6,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0071456,cellular response to hypoxia,22,4.769633950460732,239,217,1.230699478946634e-8,1.62698471116745e-5,3.7155042396723422e-06,Down,4,6,FALSE,BP,gad1SALK-Col-0
GO:0031668,cellular response to extracellular stimulus,21,4.352016231295967,219,198,1.2882032648491266e-8,1.7030047161305454e-5,3.777991814887336e-6,Down,3,4,FALSE,BP,gad1SALK-Col-0
GO:0001666,response to hypoxia,23,5.319130949361738,265,242,1.7453218269236643e-8,2.307315455193084e-5,4.976427493011462e-6,Down,3,5,FALSE,BP,gad1SALK-Col-0
GO:0070887,cellular response to chemical stimulus,73,36.112942767774115,1716,1643,2.0443359681756085e-8,2.7026121499281544e-5,5.599015112213205e-6,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0071496,cellular response to external stimulus,21,4.483895511032209,225,204,2.0727674250090158e-8,2.740198535861919e-5,5.599015112213205e-6,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0007568,aging,18,3.296981993406036,168,150,2.548492626410755e-8,3.369107252115018e-5,6.7075425426724934e-6,Down,2,2,FALSE,BP,gad1SALK-Col-0
GO:0009991,response to extracellular stimulus,23,5.49496998901006,273,250,3.038830526107201e-8,4.017333955513719e-5,7.798142204546784e-6,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0009409,response to cold,29,8.506213542987572,416,387,3.4295850972507203e-8,4.533911498565452e-5,8.586227437099323e-6,Down,3,4,FALSE,BP,gad1SALK-Col-0
GO:0010150,leaf senescence,16,2.7914447544171104,143,127,8.272555761424617e-8,1.0936318716603343e-4,1.974767218137121e-5,Down,4,8,FALSE,BP,gad1SALK-Col-0
GO:0098542,defense response to other organism,55,25.013103389973793,1193,1138,1.0434989440162781e-7,1.3795056039895195e-4,2.4343554911618772e-5,Down,3,5,FALSE,BP,gad1SALK-Col-0
GO:0090693,plant organ senescence,16,2.9233240341533517,149,133,1.4711683076100587e-7,1.9448845026604977e-4,3.35578793545131e-5,Down,3,6,FALSE,BP,gad1SALK-Col-0
GO:0009631,cold acclimation,10,0.9671147180657705,54,44,1.9892714035614834e-7,2.629816795508281e-4,4.43895629818024e-5,Down,4,5,TRUE,BP,gad1SALK-Col-0
GO:0031669,cellular response to nutrient levels,17,3.560740552878519,179,162,3.5870180572909106e-7,4.742037871738584e-4,7.51418951944297e-5,Down,4,5,FALSE,BP,gad1SALK-Col-0
GO:0031667,response to nutrient levels,19,4.681714430636571,232,213,7.428532518034733e-7,9.820519988841916e-4,1.4504258658371306e-4,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0009620,response to fungus,35,13.517626172964748,650,615,7.489050241439129e-7,9.900524419182528e-4,1.4504258658371306e-4,Down,3,5,FALSE,BP,gad1SALK-Col-0
GO:0006952,defense response,67,35.893143968213714,1700,1633,1.4326550456874606e-6,0.0018939699703988228,2.6740735419921244e-4,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:1900057,positive regulation of leaf senescence,6,0.2637585594724829,18,12,1.432819142182292e-6,0.0018941869059649898,2.6740735419921244e-4,Down,4,10,TRUE,BP,gad1SALK-Col-0
GO:0042542,response to hydrogen peroxide,10,1.296812917406374,69,59,2.1182026218810265e-6,0.002800263866126717,3.814497258607427e-4,Down,4,5,FALSE,BP,gad1SALK-Col-0
GO:0009267,cellular response to starvation,15,3.275002113449996,164,149,2.7916462404384676e-6,0.003690556329859654,4.876406471801e-4,Down,4,6,FALSE,BP,gad1SALK-Col-0
GO:0044248,cellular catabolic process,58,29.980556260038888,1422,1364,2.888367437762702e-6,0.0038184217527222923,4.941352673920368e-4,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0016151,nickel cation binding,5,0.15385915969228167,12,7,3.155480354329833e-6,0.00417154502842404,5.309826213113311e-4,Down,6,6,TRUE,MF,gad1SALK-Col-0
GO:0050832,defense response to fungus,30,11.693296136613407,562,532,5.533733060346017e-6,0.007315595105777435,9.016174689122029e-4,Down,4,6,FALSE,BP,gad1SALK-Col-0
GO:0043565,sequence-specific DNA binding,53,27.43089018513822,1301,1248,7.867136407025389e-6,0.010400354330087564,0.001261773400932721,Down,5,5,FALSE,MF,gad1SALK-Col-0
GO:0042594,response to starvation,16,4.088257671823484,202,186,8.450624280638913e-6,0.011171725299004643,0.00131428490268463,Down,3,5,FALSE,BP,gad1SALK-Col-0
GO:1901615,organic hydroxy compound metabolic process,23,7.802857384394286,378,355,8.796083200239782e-6,0.011628421990716991,0.0013475943684943326,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0033554,cellular response to stress,52,26.727534026544934,1268,1216,9.030553857321019e-6,0.011938392199378388,0.0013631703643924517,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0016844,strictosidine synthase activity,5,0.2197987995604024,15,10,1.1340923576989267e-5,0.014992700968779811,0.0016871123115437458,Down,5,5,TRUE,MF,gad1SALK-Col-0
GO:1901701,cellular response to oxygen-containing compound,35,15.51779524896441,741,706,1.4837559469009849e-5,0.01961525361803102,0.0021500130018814456,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0003700,DNA-binding transcription factor activity,63,35.321667089356666,1670,1607,1.4871499931942276e-5,0.01966012291002769,0.0021500130018814456,Down,2,2,FALSE,MF,gad1SALK-Col-0
GO:0016054,organic acid catabolic process,14,3.3629216332741567,167,153,1.6225257155037635e-5,0.021449789958959756,0.0022206237829683682,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0051716,cellular response to stimulus,105,70.09383717981233,3294,3189,3.207333473498562e-5,0.042400948519651,0.00422079418615546,Down,2,2,FALSE,BP,gad1SALK-Col-0
GO:0044282,small molecule catabolic process,17,5.121312029757376,250,233,3.2548082907348746e-5,0.04302856560351504,0.004229051596672182,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0042537,benzene-containing compound metabolic process,9,1.5166117169667765,78,69,4.490595705154417e-5,0.059365675222141395,0.0056906725885796676,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0000976,transcription regulatory region sequence-specific DNA binding,42,21.276523797446952,1010,968,5.1273316880733196e-5,0.06778332491632928,0.006222697786514479,Down,5,7,FALSE,MF,gad1SALK-Col-0
GO:0001067,regulatory region nucleic acid binding,42,21.276523797446952,1010,968,5.1273316880733196e-5,0.06778332491632928,0.006222697786514479,Down,4,4,FALSE,MF,gad1SALK-Col-0
GO:1900055,regulation of leaf senescence,7,0.8572153182855694,46,39,5.291574815623339e-5,0.06995461906254054,0.006222697786514479,Down,5,9,FALSE,BP,gad1SALK-Col-0
GO:0015996,chlorophyll catabolic process,5,0.3296981993406036,20,15,5.3563633856512507e-5,0.07081112395830953,0.006222697786514479,Down,4,7,FALSE,BP,gad1SALK-Col-0
GO:0016843,amine-lyase activity,5,0.3296981993406036,20,15,5.3563633856512507e-5,0.07081112395830953,0.006222697786514479,Down,4,4,FALSE,MF,gad1SALK-Col-0
GO:0009056,catabolic process,66,39.21210584157579,1850,1784,5.3954050555346434e-5,0.07132725483416799,0.006222697786514479,Down,2,2,FALSE,BP,gad1SALK-Col-0
GO:0006082,organic acid metabolic process,48,25.936258348127485,1228,1180,6.835508989000275e-5,0.09036542883458364,0.007710350626661509,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0006714,sesquiterpenoid metabolic process,7,0.9011750781976499,48,41,7.01427412695714e-5,0.09272870395837338,0.007825995049563071,Down,6,7,FALSE,BP,gad1SALK-Col-0
GO:0009749,response to glucose,8,1.2748330374503338,66,58,8.337406355878766e-5,0.11022051202471729,0.009104325513309534,Down,7,7,FALSE,BP,gad1SALK-Col-0
GO:0046149,pigment catabolic process,5,0.3736579592526841,22,17,8.780196388568242e-5,0.11607419625687215,0.009486921045679702,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:1990837,sequence-specific double-stranded DNA binding,42,21.826020796347958,1035,993,9.996233354411337e-5,0.13215020494531787,0.010688329021344405,Down,6,6,FALSE,MF,gad1SALK-Col-0
GO:0009687,abscisic acid metabolic process,6,0.6593963986812073,36,30,1.0823140203623801e-4,0.14308191349190666,0.011221805866541538,Down,5,8,FALSE,BP,gad1SALK-Col-0
GO:0043288,apocarotenoid metabolic process,6,0.6593963986812073,36,30,1.0823140203623801e-4,0.14308191349190666,0.011221805866541538,Down,5,6,FALSE,BP,gad1SALK-Col-0
GO:1902644,tertiary alcohol metabolic process,6,0.6593963986812073,36,30,1.0823140203623801e-4,0.14308191349190666,0.011221805866541538,Down,4,5,FALSE,BP,gad1SALK-Col-0
GO:0046395,carboxylic acid catabolic process,12,3.121142953757714,154,142,1.304417027961961e-4,0.17244393109657125,0.013389400153367832,Down,5,6,FALSE,BP,gad1SALK-Col-0
GO:0071396,cellular response to lipid,26,11.297658297404684,540,514,1.340108459510172e-4,0.17716233834724474,0.013619564991548845,Down,5,5,FALSE,BP,gad1SALK-Col-0
GO:0006787,porphyrin-containing compound catabolic process,5,0.4395975991208048,25,20,1.6795740077703465e-4,0.22203968382723982,0.016488573737127903,Down,5,6,FALSE,BP,gad1SALK-Col-0
GO:0033015,tetrapyrrole catabolic process,5,0.4395975991208048,25,20,1.6795740077703465e-4,0.22203968382723982,0.016488573737127903,Down,5,5,FALSE,BP,gad1SALK-Col-0
GO:0009746,response to hexose,8,1.4286921971426156,73,65,1.7113484991412126e-4,0.2262402715864683,0.016572088907090707,Down,6,6,FALSE,BP,gad1SALK-Col-0
GO:0043436,oxoacid metabolic process,45,24.92518387014963,1179,1134,1.8951892423113193e-4,0.2505440178335564,0.018180819969930397,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0140110,transcription regulator activity,63,38.68458872263082,1823,1760,1.9845594428968618e-4,0.2623587583509651,0.01886188174734341,Down,1,1,FALSE,MF,gad1SALK-Col-0
GO:0009743,response to carbohydrate,12,3.296981993406036,162,150,2.0988729717232388e-4,0.27747100686181214,0.019765341325546894,Down,4,4,FALSE,BP,gad1SALK-Col-0
GO:0009636,response to toxic substance,17,6.044466987911066,292,275,2.1693118059739686e-4,0.28678302074975864,0.02024295716712346,Down,3,3,FALSE,BP,gad1SALK-Col-0
GO:0003690,double-stranded DNA binding,44,24.243807591512386,1147,1103,2.2377804359310756e-4,0.2958345736300882,0.020693747965131907,Down,5,5,FALSE,MF,gad1SALK-Col-0
GO:0034284,response to monosaccharide,8,1.5166117169667765,77,69,2.485690868148551e-4,0.3286083327692384,0.022579448745674694,Down,5,5,FALSE,BP,gad1SALK-Col-0
GO:0009408,response to heat,15,5.011412629977174,243,228,2.6991419288153947e-4,0.3568265629893952,0.024091982709139956,Down,3,4,FALSE,BP,gad1SALK-Col-0
GO:0019752,carboxylic acid metabolic process,41,22.155718995688563,1049,1008,2.747226423209546e-4,0.363183333148302,0.024309785523518788,Down,5,5,FALSE,BP,gad1SALK-Col-0
GO:0010951,negative regulation of endopeptidase activity,6,0.8132555583734888,43,37,2.9830700785618113e-4,0.39436186438587145,0.026171116803670586,Down,7,10,FALSE,BP,gad1SALK-Col-0
GO:0008200,ion channel inhibitor activity,3,0.08791951982416096,7,4,3.245765707594555e-4,0.4290902265440002,0.027129987068215754,Down,4,4,FALSE,MF,gad1SALK-Col-0
GO:0016248,channel inhibitor activity,3,0.08791951982416096,7,4,3.245765707594555e-4,0.4290902265440002,0.027129987068215754,Down,3,3,FALSE,MF,gad1SALK-Col-0
